review,label
"After 6 years of faithful service, my hard drive died a few weeks ago. I bought another Gateway and it was recommended to me that I get Spy Sweeper.

I had never ran any Spy tool up until now, choosing just to use Anti-Virus Software. I had wondered if Spy Sweeper would be redundant.

Well, I have Spy Sweeper 5.0.7.1608 and within the first few days of having my new computer, this software caught 3 incidents of spyware that my Anti-Virus never detected!

This tool sweeps files, registry, cookies...everything. It will quarantine first, and then you can choose to delete it.

My system is FAST, and I've not seen Spy Sweeper act unusually in any way, nor has it taken up too much memory. (I have AMD Athlon, 64 X2 dual core processor 3800+ with 1.87 GB of RAM--running on XP.) I have all 12 recommended shields running at all times.

Spy Sweeper will sweep every week, but you can choose to sweep anytime. Sweeps, for me, have only taken 5-6 minutes.

My experience has been very positive with Spy Sweeper, especially when I saw it catch several spyware that my Anti-Virus *didn't* pick up. Very affordable software for the kind of protection it provides, in my opinion.",0
"So far so good - this is a comprehensive and powerful application for big business accounting - in addition to budget and payroll, there are excellent tools for tracking growth and profit.  I'm a small business owner, an artist, and I find it fantastic for tracking inventory and sales, but there are tools that will make it easy when I begin to expand my business too.  I'm just starting to scratch the surface as to what it can and can't do - so far, I can say that the software is user friendly, although there is a steep learning curve if you aren't an accountant!",0
This has been a great and easy software to use. I have used this program to keep my MS Windows PC safe and it has done a great job. I like that it is an easy program to use and is fast at scanning my computer. I also like that it does not take a lot of my system recourses to run. Also getting updates is really easy and so is renewing your subscription to the updates. I would recommend this version of Norton software for anyone who wants an easy full security software for their computer.,0
"This router is great. The setup and installation was very easy. I've tried other routers, but this is by far the best.",0
"Overview

This is a great array for someone looking to expand their home storage network or possibly someone with a SOHO setup that needs plenty of storage. I used this array to combine many different drives I had laying around from past system builds as well as to give me a central place to go for over 15TB of storage.

Unpacking

The array arrived well packed with two layers of boxes and internal Styrofoam.

Installation

You will definitely want to buy the optional rackmount mounting rails. The railkit costs approximately $32 more but was worth not having to sit the array on top of another rackmount device. There is no way the front brackets will hold the weight of the array empty let alone full of hard drives.

Hardware

All hardware was included. eSATA cables, SATA cables, power cables, drive trays, and drive tray mounting screws were included. The chassis is reasonably high quality metal, and I believe the power supply is a standard ATX power supply which is always preferred over some custom form factor so that if the OE PS dies you can get another one from anywhere. The array has plenty of fans, so far I have 12 drives in the array and no cooling issues.

The array is surprisingly quiet even when fully populated with WD Caviar Greens. The fans are barely noticeable to include the power supply fan. The indicator lights on the front are sparse but do provide basic information such as which drive bays are filled, which drives are active, and which internal RAID controller is active. A nice to have would have been a LCD screen with temp and other environmental info but at this price point its not surprising that its lacking.

One HW feature that I found totally cool was that you can bring your own eSATA port multiplying RAID controller card if you wanted, disable the RAID controller in the array, and use all of your own features with your own RAID controller card.

Software

The CD that came with mine was useless, trying to read it locked up two different laptops so I ended up downloading the latest software right from their website. The GUI interface for their drives and software is terrible, incredibly cheesy, and felt like something developed in the 90's, but it did install without a hitch and instantly recognized the attached array. Configuration of the RAID went without a hitch.

I did all of my configurations from a server running Windows Server 8 BETA x64 so I can say its not only Windows Server 8 BETA compatible its also 64bit compatible driver software.

A nice feature is that the HD's SMART monitoring information is available via the array's driver software.

Features

The amount of storage options this unit provides is awesome. I was looking for a budget eSATA rackmount enclosure with at least 8 drive bays and this unit definitely performs above and beyond my expectations. It offers all the usual RAID levels but the best part is that internally it is comprised of 3 separate RAID controllers which are accessible via 3 separate eSATA ports on the back so if you wanted to you could connect 3 different servers to this array. Also, if you choose to connect a device to the array that does not have a port multiplier eSATA port, you can configure the internal controller of the array to do the port multiplication for you and present a single logical storage volume to the connected device.

During my burn-in testing of my 2TB WDC Green RAID array I saw sustained writes of approximately 86MB/s and reads of approximately 98MB/s for a RAID 5 array of 4 1TB WDC Greens.

The Bad

The only bad thing about this array is the incredibly cheap hard drive carriages. You have to be very careful when mounting, inserting, or removing hard drives from this array. The carriages are very fragile, thin, plastic and will easily crack or break if handled roughly.  Once the drives are properly inserted into the array you should be ok.

Conclusion

This is a great budget minded eSATA RAID enclosure for anyone seeking a ton of drive bays, HW RAID controllers, and storage flexibilty for less than $1000.00. It certainly is not enterprise class, but then again, neither is the price.",0
"This ""Microsoft Office Home and Student 2010"" software package is a good basic starter kit for a PC or laptop.  It's incredibly easy to up load from the disc, and the onscreen directions make it painless to finish the instal.  It can be the basis for later upgrades to suit the user's needs.  Highly recommended.",0
"To be complete, I needed this",0
"First time user of the product after a decade+ of using TurboTax. The TurboTax price increases finally got me to give this a try. TaxCut is different but functional... and it works. Got my refunds. Only complaint was at printouts. For some reason it thinks you've got legal sized paper and gives you no choice to print a copy otherwise. It prints out a page plus a remnant page for each actual document page. Also, the text at the bottom of the pages are cut-off. Best bet is to save as a .pdf and print outside the program.",0
Been using this excellent product for years--don't ever try and do income taxes without it.,0
"Having used Peter Nortons products since their inception, I have come to rely on his security software as part of my standard security set up.

The other software tools they have are also very handy if you have a need.

The multi packs are great, as I have a number of computers at home that I have to maintain.

getting the 1 user 3 PC is a inexpensive way of protecting my home network of masheens! its got what computers need!",0
"I ussally purchase anti-virus programs at the store so that I can get a ""cd"" incase I need to boot from it to fix viruses. Found that you can ""make a boot Disk"" from norton's site to boot your PC if needed to clean some of the viruses off that way. Have tested this version with Windows 7 Ult. 64 bit and found it does what is says. Stopped viruses for getting into the system and let's you know what it is and what happened. A must for web browsing today.",0
"I have been satisfied by turbotax for many years.  No complaints.  I use this for partnership return, it generates the k1 forms, and pdf files for records as well as e filing.  It does not include the state program, has to be bought separately.  only works on windows, not mac computers.",0
